DATAFLOW,LAST UPDATE,freq,building,currency,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_COLC_RENTS(1.0),11/12/23 23:00:00,Annual,1-bedroom flats,Euro,Tiranë (Tirana),2013,330,,
ESTAT:PRC_COLC_RENTS(1.0),11/12/23 23:00:00,Annual,1-bedroom flats,Euro,Tiranë (Tirana),2014,350,,
ESTAT:PRC_COLC_RENTS(1.0),11/12/23 23:00:00,Annual,1-bedroom flats,Euro,Tiranë (Tirana),2015,370,,
ESTAT:PRC_COLC_RENTS(1.0),11/12/23 23:00:00,Annual,1-bedroom flats,Euro,Tiranë (Tirana),2016,330,,
ESTAT:PRC_COLC_RENTS(1.0),11/12/23 23:00:00,Annual,1-bedroom flats,Euro,Tiranë (Tirana),2017,350,,
ESTAT:PRC_COLC_RENTS(1.0),11/12/23 23:00:00,Annual,1-bedroom flats,Euro,Tiranë (Tirana),2018,370,,
ESTAT:PRC_COLC_RENTS(1.0),11/12/23 23:00:00,Annual,1-bedroom flats,Euro,Tiranë (Tirana),2019,390,,
ESTAT:PRC_COLC_RENTS(1.0),11/12/23 23:00:00,Annual,1-bedroom flats,Euro,Tiranë (Tirana),2020,400,,
ESTAT:PRC_COLC_RENTS(1.0),11/12/23 23:00:00,Annual,1-bedroom flats,Euro,Tiranë (Tirana),2021,380,,
ESTAT:PRC_COLC_RENTS(1.0),11/12/23 23:00:00,Annual,1-bedroom flats,Euro,Tiranë (Tirana),2022,430,,
ESTAT:PRC_COLC_RENTS(1.0),11/12/23 23:00:00,Annual,1-bedroom flats,Euro,Tiranë (Tirana),2023,490,,
ESTAT:PRC_COLC_RENTS(1.0),11/12/23 23:00:00,Annual,1-bedroom flats,Euro,Wien,2013,920,,
ESTAT:PRC_COLC_RENTS(1.0),11/12/23 23:00:00,Annual,1-bedroom flats,Euro,Wien,2014,910,,
ESTAT:PRC_COLC_RENTS(1.0),11/12/23 23:00:00,Annual,1-bedroom flats,Euro,Wien,2015,870,,
ESTAT:PRC_COLC_RENTS(1.0),11/12/23 23:00:00,Annual,1-bedroom flats,Euro,Wien,2016,900,,
ESTAT:PRC_COLC_RENTS(1.0),11/12/23 23:00:00,Annual,1-bedroom flats,Euro,Wien,2017,980,,
ESTAT:PRC_COLC_RENTS(1.0),11/12/23 23:00:00,Annual,1-bedroom flats,Euro,Wien,2018,970,,
ESTAT:PRC_COLC_RENTS(1.0),11/12/23 23:00:00,Annual,1-bedroom flats,Euro,Wien,2019,960,,
ESTAT:PRC_COLC_RENTS(1.0),11/12/23 23:00:00,Annual,1-bedroom flats,Euro,Wien,2020,1000,,
ESTAT:PRC_COLC_RENTS(1.0),11/12/23 23:00:00,Annual,1-bedroom flats,Euro,Wien,2021,1050,,
ESTAT:PRC_COLC_RENTS(1.0),11/12/23 23:00:00,Annual,1-bedroom flats,Euro,Wien,2022,1050,,
